,time,portfolio,stock,order
2,1530,hipzw,10,-11.0
3,1530,hipzw,11,36.0
1,1530,wizey,13,-22.0
3,1530,wizey,15,-7.0
1,1530,uitcq,17,7.0
0,1531,djruh,0,-11.0
3,1531,djruh,3,14.0
2,1531,hjmxr,6,-57.0
0,1531,hipzw,8,20.0
2,1531,hipzw,10,-67.0
3,1531,hipzw,11,30.0
1,1531,wizey,13,-3.0
3,1531,wizey,15,5.0
1,1531,uitcq,17,-10.0
0,1532,djruh,0,-5.0
3,1532,djruh,3,-13.0
2,1532,hjmxr,6,-100.0
0,1532,hipzw,8,-30.0
2,1532,hipzw,10,66.0
3,1532,hipzw,11,3.0
1,1532,wizey,13,-12.0
3,1532,wizey,15,3.0
1,1532,uitcq,17,33.0
0,1533,djruh,0,6.0
3,1533,djruh,3,-8.0
2,1533,hjmxr,6,-98.0
2,1533,hipzw,10,7.0
3,1533,hipzw,11,8.0
1,1533,wizey,13,-10.0
3,1533,wizey,15,18.0
1,1533,uitcq,17,-14.0
0,1534,djruh,0,-10.0
3,1534,djruh,3,6.0
2,1534,hjmxr,6,-75.0
0,1534,hipzw,8,16.0
2,1534,hipzw,10,-27.0
3,1534,hipzw,11,-16.0
1,1534,wizey,13,72.0
3,1534,wizey,15,-80.0
1,1534,uitcq,17,-2.0
0,1535,djruh,0,4.0
3,1535,djruh,3,-10.0
2,1535,hjmxr,6,84.0
0,1535,hipzw,8,-41.0
2,1535,hipzw,10,-9.0
3,1535,hipzw,11,63.0
1,1535,wizey,13,30.0
3,1535,wizey,15,-53.0
1,1535,uitcq,17,42.0
0,1536,djruh,0,-17.0
3,1536,djruh,3,19.0
2,1536,hjmxr,6,54.0
0,1536,hipzw,8,-24.0
2,1536,hipzw,10,-54.0
3,1536,hipzw,11,78.0
1,1536,wizey,13,-8.0
3,1536,wizey,15,-7.0
1,1536,uitcq,17,77.0
0,1537,djruh,0,-13.0
3,1537,djruh,3,11.0
2,1537,hjmxr,6,-7.0
0,1537,hipzw,8,-11.0
2,1537,hipzw,10,-51.0
3,1537,hipzw,11,28.0
1,1537,wizey,13,-18.0
3,1537,wizey,15,-9.0
1,1537,uitcq,17,-16.0
0,1538,djruh,0,-9.0
