,ToS,stock,seller,buyer,volume,tradeID
0,1040,17,vahzp,world,-1.0,1040|17worldvahzp-1.0
0,1040,0,world,vahzp,1.0,1040|0worldvahzp1.0
0,1040,18,world,fpmrk,1.0,1040|18worldfpmrk1.0
0,1040,17,fpmrk,world,-1.0,1040|17worldfpmrk-1.0
0,1041,14,vahzp,world,-1.0,1041|14worldvahzp-1.0
0,1041,0,vahzp,world,-1.0,1041|0worldvahzp-1.0
0,1041,2,world,fpmrk,1.0,1041|2worldfpmrk1.0
0,1043,7,world,fpmrk,1.0,1043|7worldfpmrk1.0
0,1043,14,fpmrk,world,-1.0,1043|14worldfpmrk-1.0
0,1044,5,vahzp,world,-1.0,1044|5worldvahzp-1.0
0,1044,7,world,vahzp,1.0,1044|7worldvahzp1.0
0,1045,14,world,vahzp,1.0,1045|14worldvahzp1.0
0,1045,14,world,fpmrk,1.0,1045|14worldfpmrk1.0
0,1045,8,fpmrk,world,-1.0,1045|8worldfpmrk-1.0
0,1046,0,bsfah,world,-6.0,1046|0worldbsfah-6.0
0,1046,2,world,bsfah,22.0,1046|2worldbsfah22.0
0,1046,5,bsfah,world,-14.0,1046|5worldbsfah-14.0
0,1046,6,bsfah,world,-38.0,1046|6worldbsfah-38.0
0,1046,7,world,bsfah,6.0,1046|7worldbsfah6.0
0,1046,8,world,bsfah,1.0,1046|8worldbsfah1.0
0,1046,11,bsfah,world,-15.0,1046|11worldbsfah-15.0
0,1046,17,vahzp,world,-1.0,1046|17worldvahzp-1.0
0,1046,2,world,vahzp,1.0,1046|2worldvahzp1.0
0,1046,5,world,vahzp,1.0,1046|5worldvahzp1.0
0,1046,7,vahzp,world,-1.0,1046|7worldvahzp-1.0
0,1047,0,bsfah,world,-1.0,1047|0worldbsfah-1.0
0,1047,2,world,bsfah,1.0,1047|2worldbsfah1.0
0,1047,5,world,bsfah,1.0,1047|5worldbsfah1.0
0,1047,7,world,bsfah,4.0,1047|7worldbsfah4.0
0,1047,8,bsfah,world,-2.0,1047|8worldbsfah-2.0
0,1047,11,bsfah,world,-1.0,1047|11worldbsfah-1.0
0,1047,14,vahzp,world,-1.0,1047|14worldvahzp-1.0
0,1047,17,world,vahzp,1.0,1047|17worldvahzp1.0
0,1047,7,world,vahzp,1.0,1047|7worldvahzp1.0
0,1047,14,fpmrk,world,-1.0,1047|14worldfpmrk-1.0
0,1047,0,fpmrk,world,-1.0,1047|0worldfpmrk-1.0
0,1048,0,world,fpmrk,1.0,1048|0worldfpmrk1.0
0,1048,5,xkvbi,world,-9.0,1048|5worldxkvbi-9.0
0,1048,2,world,xkvbi,27.0,1048|2worldxkvbi27.0
0,1048,0,world,xkvbi,5.0,1048|0worldxkvbi5.0
0,1048,11,world,xkvbi,6.0,1048|11worldxkvbi6.0
0,1048,6,xkvbi,world,-14.0,1048|6worldxkvbi-14.0
0,1048,17,xkvbi,world,-8.0,1048|17worldxkvbi-8.0
0,1048,14,xkvbi,world,-14.0,1048|14worldxkvbi-14.0
0,1049,0,world,bsfah,1.0,1049|0worldbsfah1.0
0,1049,5,world,bsfah,4.0,1049|5worldbsfah4.0
0,1049,8,bsfah,world,-1.0,1049|8worldbsfah-1.0
0,1049,11,bsfah,world,-4.0,1049|11worldbsfah-4.0
0,1050,0,world,bsfah,2.0,1050|0worldbsfah2.0
0,1050,7,world,bsfah,2.0,1050|7worldbsfah2.0
0,1050,8,bsfah,world,-2.0,1050|8worldbsfah-2.0
0,1050,11,bsfah,world,-1.0,1050|11worldbsfah-1.0
0,1050,17,vahzp,world,-1.0,1050|17worldvahzp-1.0
0,1050,0,world,vahzp,1.0,1050|0worldvahzp1.0
0,1050,2,world,fpmrk,1.0,1050|2worldfpmrk1.0
0,1050,5,world,xkvbi,4.0,1050|5worldxkvbi4.0
0,1050,2,world,xkvbi,2.0,1050|2worldxkvbi2.0
0,1050,8,xkvbi,world,-1.0,1050|8worldxkvbi-1.0
0,1050,0,world,xkvbi,4.0,1050|0worldxkvbi4.0
0,1050,11,world,xkvbi,1.0,1050|11worldxkvbi1.0
0,1050,17,xkvbi,world,-4.0,1050|17worldxkvbi-4.0
0,1050,14,xkvbi,world,-2.0,1050|14worldxkvbi-2.0
0,1051,0,world,bsfah,2.0,1051|0worldbsfah2.0
0,1051,5,world,bsfah,2.0,1051|5worldbsfah2.0
0,1051,7,bsfah,world,-5.0,1051|7worldbsfah-5.0
