,ToS,stock,seller,buyer,volume,tradeID
0,1019,8,world,hipzw,31.0,1019|8worldhipzw31.0
0,1019,9,world,hipzw,38.0,1019|9worldhipzw38.0
0,1019,11,hipzw,world,-78.0,1019|11worldhipzw-78.0
0,1019,13,world,wizey,2.0,1019|13worldwizey2.0
0,1019,15,wizey,world,-12.0,1019|15worldwizey-12.0
0,1019,16,uitcq,world,-2.0,1019|16worlduitcq-2.0
0,1019,17,uitcq,world,-13.0,1019|17worlduitcq-13.0
0,1019,19,world,uitcq,9.0,1019|19worlduitcq9.0
0,1020,0,world,djruh,14.0,1020|0worlddjruh14.0
0,1020,1,djruh,world,-10.0,1020|1worlddjruh-10.0
0,1020,2,djruh,world,-21.0,1020|2worlddjruh-21.0
0,1020,3,world,djruh,20.0,1020|3worlddjruh20.0
0,1020,4,world,hjmxr,133.0,1020|4worldhjmxr133.0
0,1020,5,hjmxr,world,-108.0,1020|5worldhjmxr-108.0
0,1020,8,hipzw,world,-36.0,1020|8worldhipzw-36.0
0,1020,9,hipzw,world,-8.0,1020|9worldhipzw-8.0
0,1020,11,world,hipzw,58.0,1020|11worldhipzw58.0
0,1020,13,wizey,world,-5.0,1020|13worldwizey-5.0
0,1020,15,wizey,world,-3.0,1020|15worldwizey-3.0
0,1020,16,uitcq,world,-50.0,1020|16worlduitcq-50.0
0,1020,17,uitcq,world,-19.0,1020|17worlduitcq-19.0
0,1020,19,world,uitcq,58.0,1020|19worlduitcq58.0
0,1021,0,world,djruh,1.0,1021|0worlddjruh1.0
0,1021,1,world,djruh,8.0,1021|1worlddjruh8.0
0,1021,2,world,djruh,12.0,1021|2worlddjruh12.0
0,1021,3,djruh,world,-11.0,1021|3worlddjruh-11.0
0,1021,4,hjmxr,world,-248.0,1021|4worldhjmxr-248.0
0,1021,5,world,hjmxr,196.0,1021|5worldhjmxr196.0
0,1021,8,world,hipzw,1.0,1021|8worldhipzw1.0
0,1021,9,hipzw,world,-45.0,1021|9worldhipzw-45.0
0,1021,11,world,hipzw,35.0,1021|11worldhipzw35.0
0,1021,13,wizey,world,-2.0,1021|13worldwizey-2.0
0,1021,15,world,wizey,21.0,1021|15worldwizey21.0
0,1021,16,world,uitcq,5.0,1021|16worlduitcq5.0
0,1021,17,uitcq,world,-18.0,1021|17worlduitcq-18.0
0,1021,19,uitcq,world,-15.0,1021|19worlduitcq-15.0
0,1022,1,world,djruh,1.0,1022|1worlddjruh1.0
0,1022,2,world,djruh,1.0,1022|2worlddjruh1.0
0,1022,3,djruh,world,-4.0,1022|3worlddjruh-4.0
0,1022,4,hjmxr,world,-250.0,1022|4worldhjmxr-250.0
0,1022,5,world,hjmxr,151.0,1022|5worldhjmxr151.0
0,1022,8,world,hipzw,8.0,1022|8worldhipzw8.0
0,1022,11,hipzw,world,-14.0,1022|11worldhipzw-14.0
0,1022,13,world,wizey,6.0,1022|13worldwizey6.0
0,1022,15,wizey,world,-8.0,1022|15worldwizey-8.0
0,1022,16,world,uitcq,80.0,1022|16worlduitcq80.0
0,1022,17,uitcq,world,-62.0,1022|17worlduitcq-62.0
0,1022,19,uitcq,world,-85.0,1022|19worlduitcq-85.0
0,1023,0,world,djruh,15.0,1023|0worlddjruh15.0
0,1023,1,djruh,world,-20.0,1023|1worlddjruh-20.0
0,1023,2,djruh,world,-6.0,1023|2worlddjruh-6.0
0,1023,3,world,djruh,34.0,1023|3worlddjruh34.0
0,1023,4,hjmxr,world,-5.0,1023|4worldhjmxr-5.0
0,1023,5,hjmxr,world,-22.0,1023|5worldhjmxr-22.0
0,1023,8,hipzw,world,-16.0,1023|8worldhipzw-16.0
0,1023,9,hipzw,world,-5.0,1023|9worldhipzw-5.0
0,1023,11,world,hipzw,4.0,1023|11worldhipzw4.0
0,1023,13,world,wizey,4.0,1023|13worldwizey4.0
0,1023,15,world,wizey,40.0,1023|15worldwizey40.0
0,1023,16,world,uitcq,36.0,1023|16worlduitcq36.0
0,1023,17,uitcq,world,-15.0,1023|17worlduitcq-15.0
0,1023,19,uitcq,world,-47.0,1023|19worlduitcq-47.0
0,1024,0,world,djruh,10.0,1024|0worlddjruh10.0
0,1024,1,djruh,world,-3.0,1024|1worlddjruh-3.0
0,1024,2,djruh,world,-1.0,1024|2worlddjruh-1.0
0,1024,4,hjmxr,world,-136.0,1024|4worldhjmxr-136.0
0,1024,5,world,hjmxr,130.0,1024|5worldhjmxr130.0
0,1024,8,world,hipzw,2.0,1024|8worldhipzw2.0
0,1024,9,hipzw,world,-49.0,1024|9worldhipzw-49.0
0,1024,11,world,hipzw,34.0,1024|11worldhipzw34.0
0,1024,13,world,wizey,79.0,1024|13worldwizey79.0
0,1024,15,wizey,world,-44.0,1024|15worldwizey-44.0
0,1024,16,uitcq,world,-27.0,1024|16worlduitcq-27.0
0,1024,17,world,uitcq,44.0,1024|17worlduitcq44.0
0,1024,19,uitcq,world,-8.0,1024|19worlduitcq-8.0
0,1025,0,world,djruh,7.0,1025|0worlddjruh7.0
0,1025,1,world,djruh,2.0,1025|1worlddjruh2.0
0,1025,2,djruh,world,-8.0,1025|2worlddjruh-8.0
0,1025,3,djruh,world,-8.0,1025|3worlddjruh-8.0
0,1025,4,world,hjmxr,4.0,1025|4worldhjmxr4.0
0,1025,5,hjmxr,world,-39.0,1025|5worldhjmxr-39.0
0,1025,8,world,hipzw,64.0,1025|8worldhipzw64.0
0,1025,9,hipzw,world,-30.0,1025|9worldhipzw-30.0
0,1025,11,hipzw,world,-52.0,1025|11worldhipzw-52.0
0,1025,13,wizey,world,-58.0,1025|13worldwizey-58.0
0,1025,15,world,wizey,47.0,1025|15worldwizey47.0
0,1025,16,world,uitcq,9.0,1025|16worlduitcq9.0
0,1025,17,uitcq,world,-57.0,1025|17worlduitcq-57.0
0,1025,19,world,uitcq,31.0,1025|19worlduitcq31.0
0,1026,0,djruh,world,-7.0,1026|0worlddjruh-7.0
0,1026,1,world,djruh,33.0,1026|1worlddjruh33.0
0,1026,2,djruh,world,-34.0,1026|2worlddjruh-34.0
